"Ticket","File","Title"
"NRedberry-xbzug","D:\GitHub\NRedberry\NRedberry.Core.Combinatorics.Tests\CombinatorialContractsTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Combinatorics.Tests/CombinatorialContractsTests.cs"
"NRedberry-591en","D:\GitHub\NRedberry\NRedberry.Core.Combinatorics.Tests\CombinatoricsTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Combinatorics.Tests/CombinatoricsTests.cs"
"NRedberry-qhdl9","D:\GitHub\NRedberry\NRedberry.Core.Combinatorics.Tests\ExtensionsTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Combinatorics.Tests/ExtensionsTests.cs"
"NRedberry-tsw6p","D:\GitHub\NRedberry\NRedberry.Core.Combinatorics.Tests\IntCombinationPermutationGeneratorTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Combinatorics.Tests/IntCombinationPermutationGeneratorTests.cs"
"NRedberry-o2szi","D:\GitHub\NRedberry\NRedberry.Core.Combinatorics.Tests\IntCombinationsGeneratorTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Combinatorics.Tests/IntCombinationsGeneratorTests.cs"
"NRedberry-fhmg1","D:\GitHub\NRedberry\NRedberry.Core.Combinatorics.Tests\IntPermutationsGeneratorTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Combinatorics.Tests/IntPermutationsGeneratorTests.cs"
"NRedberry-iwzek","D:\GitHub\NRedberry\NRedberry.Core.Combinatorics.Tests\IntPortsTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Combinatorics.Tests/IntPortsTests.cs"
"NRedberry-81lj1","D:\GitHub\NRedberry\NRedberry.Core.Combinatorics.Tests\IntPriorityPermutationsGeneratorTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Combinatorics.Tests/IntPriorityPermutationsGeneratorTests.cs"
"NRedberry-18j3n","D:\GitHub\NRedberry\NRedberry.Core.Combinatorics.Tests\PermutationContractsTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Combinatorics.Tests/PermutationContractsTests.cs"
"NRedberry-zyh8w","D:\GitHub\NRedberry\NRedberry.Core.Combinatorics.Tests\PermutationsSpanIteratorTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Combinatorics.Tests/PermutationsSpanIteratorTests.cs"
